,variance,skewness,curtosis,entropy
1023,-1.7713,-10.7665,10.2184,-1.0043
642,5.1321,-0.031048000000000003,0.32616,1.1151
1196,-2.0149,3.6874,-1.9385,-3.8918
31,1.4884,3.6274,3.3080000000000003,0.48921000000000003
253,5.2868,3.2569999999999997,-1.3721,1.1668
535,1.9476,-4.7738,8.527000000000001,-1.8668
184,-1.7559,11.9459,3.0946,-4.8978
758,3.931,1.8541,-0.023425,1.2314
1308,-4.6338,-12.7509,16.7166,-3.2168
914,-2.5346,-0.7739199999999999,3.3602,0.0017100000000000001
406,0.14783,7.946000000000001,1.0742,-3.3409
513,5.9374,6.1664,-2.5905,-0.36553
1177,-0.8954200000000001,2.0279,-2.3652,-1.2746
744,4.9852,8.3516,-2.5425,-1.2823
211,3.5156,10.1891,-4.2759,-4.978
161,3.5499,8.6165,-3.2794,-1.2009
1301,-3.7244,1.9037,-0.035421,-2.5095
1229,0.23874,2.0879,-3.3522,-0.6655300000000001
669,4.3634,0.46351000000000003,1.4281,2.0202
486,3.8832,6.4023,-2.432,-0.9836299999999999
1187,-4.0218,-8.304,12.555,-1.5099
445,3.1887,-3.4143,2.7742,-0.2026
722,4.8451,8.1116,-2.9512,-1.4724
1140,-0.53072,-0.097265,-0.21793,1.0426
227,-2.6479,10.1374,-1.331,-5.4707
933,-0.10234,1.8189,-2.2169,-0.56725
442,3.359,9.8022,-3.8209,-3.7133
1089,-2.9821,4.1986,-0.5898,-3.9642
553,3.0672,-4.4117,3.8238,-0.81682
435,1.2138,8.7986,-2.1672,-0.74182
999,-4.7331,-6.1789,11.388,-1.0741
268,0.9297,-3.7971,4.6429,-0.2957
1058,-1.5621,-2.2121,4.2591,0.27971999999999997
794,-1.6244,-6.3444,4.6575,0.16981
1220,-2.7769,-5.6967,5.9179,0.37671
312,1.5902,2.2948,3.2403,0.18404
526,2.2091,7.4556,-1.3284,-3.3021
853,-3.1366,0.42212,2.6225,-0.064238
224,-0.36038000000000003,4.1158,3.1143,-0.37199
1329,-2.9672,-13.2869,13.4727,-2.6271
716,0.5195,-3.2633,3.0895,-0.9849
1305,-3.8953,4.0392,-0.3019,-2.1836
461,3.0948,8.7324,-2.9007,-0.9668200000000001
465,-2.6989,12.1984,0.67661,-8.5482
935,-1.8448,1.254,0.27218000000000003,-1.0728
1186,-4.244,-13.0634,17.1116,-2.8017
54,4.9264,5.496,-2.4774,-0.50648
108,3.1060000000000003,9.5414,-4.2536,-4.003
781,-1.8219,-6.8824,5.4681,0.057313
489,2.8237,2.8597,0.19677999999999998,0.57196
565,1.5701,7.9129,0.29018,-2.1953
1264,-6.651,6.7934,0.68604,-7.5887
34,-1.6162,0.80908,8.1628,0.60817
784,-3.4083,4.8587,-0.76888,-4.8668
1029,-1.2369,-1.6906,2.5180000000000002,0.51636
85,4.0296,2.6756,0.80685,0.7167899999999999
839,-1.3414,-2.0776,2.8093,0.60688
1253,-4.5531,-12.5854,15.4417,-1.4983
303,-1.9177,11.6894,2.5454,-3.2763
1239,-2.4458,1.6285,-0.88541,-1.4802
858,0.25943,5.0097,-5.0394,-6.3862
426,-1.5222,10.8409,2.7827,-4.0974
425,1.742,-4.809,8.2142,-2.0659
416,4.3483,11.1079,-4.0857,-4.2539
141,1.7317,-0.34765,4.1905,-0.9913799999999999
1127,-2.3629,-0.10554000000000001,1.9336,1.1358
948,-3.4917,-12.1736,14.3689,-0.61639
840,-2.258,-9.3263,9.3727,-0.85949
1169,0.9829600000000001,3.4226,-3.9692,-1.7116
474,2.5817,9.7546,-3.1749,-2.9957
1100,1.4378,0.66837,-2.0267,1.0271
5,4.3684,9.6718,-3.9606,-3.1625
1235,-3.5359,0.30417,0.6569,-0.2957
740,-2.4473,12.6247,0.73573,-7.6612
45,-0.7869,9.5663,-3.7867,-7.5034
862,-1.2424,-1.7175,-0.52553,-0.21036
55,4.8265,0.80287,1.6371,1.1875
506,2.093,8.3061,0.022844,-3.2724
539,4.2475,1.4816,-0.48355,0.9534299999999999
260,3.7731,7.2073,-1.6814,-0.94742
879,-0.56877,1.4174,-1.4252,-1.1246
902,-2.8957,-12.0205,11.9149,-2.7552
52,3.1452,5.825,-0.51439,-1.4944
412,3.7767,9.7794,-3.9075,-3.5323
1021,-1.2792,2.1376,-0.47584,-1.3974
1025,-1.1022,-5.8395,4.5641,0.68705
254,4.0102,10.6568,-4.1388,-5.0646
411,4.0047,0.45937,1.3621,1.6181
308,4.6160000000000005,10.1788,-4.2185,-4.4245
319,2.9499,2.2493,1.3458,-0.037083
142,4.1736,3.3336,-1.4244,0.60429
1036,-2.3898,-0.78427,3.0141,0.76205
1205,-1.6641,-1.3678,1.9969999999999999,0.52283
1222,0.30080999999999997,0.17381,-1.7542,0.48921000000000003
1267,-2.4554,-9.0407,8.862,-0.8698299999999999
589,0.93611,8.6413,-1.6351,-1.3043
393,3.7831,10.0526,-3.8869,-3.7366
342,4.0329,0.23175,0.8908200000000001,1.1823
955,-2.2083,-9.1069,8.9991,-0.28406
869,-3.3125,0.10139,0.55323,-0.2957
270,3.8417,10.0215,-4.2699,-4.9159
1314,-3.5060000000000002,-12.5667,15.1606,-0.75216
566,2.6415,7.586,-0.28562,-1.6677
4,0.32924000000000003,-4.4552,4.5718,-0.9888
333,3.0009,5.8126,-2.2306,-0.6655300000000001
1334,-1.0833,-0.31246999999999997,1.2815,0.41291000000000005
247,2.0597,-0.99326,5.2119,-0.29312
1315,-2.9498,-8.273,10.2646,1.1629
970,-2.3299,-9.9532,8.4756,-1.8733
878,-3.2854,4.0372,-0.45356,-1.8228
302,1.6849,8.7489,-1.2641,-1.3858
870,-1.9423,0.3766,-1.2898,-0.82458
733,3.8244,-3.1081,2.4537,0.5202399999999999
546,1.4507,8.7903,-2.2324,-0.65259
871,-0.75793,2.5349,-3.0464,-1.2629
159,1.3566,4.2358,2.1341,0.3211
204,0.8329200000000001,7.5404,0.65005,-0.9254399999999999
198,4.0215,-2.1914,2.4648,1.1409
977,-1.239,-6.541,4.8151,-0.033204000000000004
1268,-3.9411,-12.8792,13.0597,-3.3125
152,5.0691,0.21313000000000001,0.20278,1.2095
19,5.2423,11.0272,-4.353,-4.1013
1063,-2.0066,-6.718999999999999,9.0162,0.099985
1113,-2.6864,-0.097265,0.61663,0.061191999999999996
1075,0.37637,-0.82358,0.7854300000000001,0.74524
847,-2.4824,-7.3046,6.8389999999999995,-0.59053
1001,-0.036127,1.525,-1.4089,-0.76121
517,1.7619999999999998,4.3682,2.1384,0.75429
1344,1.3451,0.23589000000000002,-1.8785,1.3258
18,1.4479,-4.8794,8.3428,-2.1086
363,2.805,0.5773199999999999,1.3424,1.2133
53,2.549,6.1499,-1.1605,-1.2371
572,5.504,10.3671,-4.413,-4.0211
47,-0.7869,9.5663,-3.7867,-7.5034
330,1.0607,2.4542,2.5188,-0.17027
1099,-0.71868,-5.7154,3.8298,1.0233
761,2.2504,3.5757,0.35273000000000004,0.2836
364,5.7823,5.5788,-2.4089,-0.056478999999999994
500,3.8644,3.7061,0.70403,0.35214
533,0.045304000000000004,6.7334,1.0708,-0.9332
1018,-0.40804,0.54214,-0.52725,0.6586
215,6.0919,2.9673,-1.3267,1.4551
1259,-1.8387,-6.301,5.6506,0.19567
960,-2.2501,3.3129,-0.88369,-2.8974
299,2.2928,9.0386,-3.2417,-1.2991
39,3.4805,9.7008,-3.7541,-3.4379
979,1.6799,4.2068,-4.5398,-2.3931
479,2.0962,2.4769,1.9379,-0.040962
1,4.5459,8.1674,-2.4586,-1.4621
920,-5.4808,8.1819,0.27818000000000004,-5.0323
459,0.77445,9.0552,-2.4089,-1.3884
452,0.7712399999999999,9.0862,-1.2281,-1.4996
751,2.2546,8.0992,-0.24877,-3.2698
726,0.040498,8.5234,1.4461,-3.9306
1051,-3.7747,2.5162,0.83341,-0.30993000000000004
58,3.1377,-4.1096,4.5701,0.9896299999999999
904,0.50225,0.65388,-1.1793,0.39998
279,1.9265,7.7557,-0.16823,-3.0771
934,-1.6176,1.0926,-0.35502,-0.59958
322,-1.7344,2.0175,7.7618,0.93532
467,2.9742,8.96,-2.9024,-1.0379
1151,-2.3142,-0.68494,1.9833,-0.44828999999999997
420,-2.484,12.1611,2.8204,-3.7418
958,-0.36372,3.0439,-3.4816,-2.7836
574,1.1676,9.1566,-2.0867,-0.80647
938,-4.3773,-5.5167,10.939,-0.4082
1188,-3.0201,-0.6725300000000001,2.7056,0.85774
666,1.2262,0.89599,5.7568,-0.11596
1083,-0.6987899999999999,-3.3771,4.1211,1.5043
961,-1.1859,-1.2519,2.2635,0.7723899999999999
14,3.404,8.7261,-2.9915,-0.5724199999999999
1191,-2.5665,-6.8824,7.5416,0.7077399999999999
1347,-5.3857,9.1214,-0.41928999999999994,-5.9181
1095,1.1640000000000001,3.9130000000000003,-4.5544,-3.8672
1218,-5.4414,7.2363,0.10937999999999999,-7.5642
540,3.9772,0.33521,2.2566,2.1625
192,1.4578,-0.08485,4.1785,0.59136
477,3.4893,6.69,-1.2042,-0.38750999999999997
1234,-4.9462,3.5716,0.82742,-1.4957
1291,0.52374,3.6439999999999997,-4.0746,-1.9909
124,-0.9171799999999999,9.9884,1.1804,-5.2263
1215,-0.7149399999999999,-4.4448,2.2241,0.49826000000000004
241,-1.3931,1.5664,7.5382,0.78403
656,-1.3612,10.694,1.7022,-2.9026
9,1.5356,9.1772,-2.2718,-0.73535
1293,-3.9698,3.6812,-0.6000800000000001,-4.0133
652,4.6439,-3.3729,2.5976,0.55257
1137,-1.5877,-6.6072,5.8022,0.31593000000000004
792,-2.7338,0.45523,2.4391,0.21766
390,-0.36279,8.2895,-1.9213,-3.3332
202,-0.78689,9.5663,-3.7867,-7.5034
80,2.8033,9.0862,-3.3668,-1.0224
1149,0.33325,3.3108,-4.5081,-4.012
748,0.85574,0.0082678,6.6042,-0.53104
788,-0.47465,-4.3496,1.9901,0.7517
542,2.8232,10.8513,-3.1466,-3.9784
317,2.6718,5.6574,0.7297399999999999,-1.4892
610,-0.2361,9.3221,2.1307,-4.3793
1368,-1.3887,-4.8773,6.4774,0.34179
1284,1.208,4.0744,-4.7635,-2.6129
61,0.49665,5.527,1.7785,-0.47156000000000003
446,2.4527,2.9653,0.20021,-0.056478999999999994
381,5.4188,10.1457,-4.084,-3.6991
92,4.3064,8.2068,-2.7824,-1.4336
711,1.7257,-4.4697,8.2219,-1.8073
581,-1.9667,11.8052,-0.40471999999999997,-7.8719
40,4.1711,8.722000000000001,-3.0224,-0.5969899999999999
75,2.3066,3.5364,0.5755100000000001,0.41938000000000003
1039,1.0194,1.1029,-2.3,0.59395
140,2.0911,0.94358,4.5512,1.234
563,4.1195,10.9258,-3.8929,-4.1802
1084,-1.48,-10.5244,9.9176,-0.5026
688,2.6213,5.7919,0.06568600000000001,-1.5759
621,3.3951,1.1484,2.1401,2.0862
